number,value,datetime_start,datetime_complete,duration,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
32,0.3140015208908074,2026-05-25 17:34:53.140882,2026-05-25 17:35:21.379282,0 days 00:00:28.238400,384,5,0.0021245478172384038,64,28.124429114000122,1.0,1.0,COMPLETE
33,0.33035190621304955,2026-05-25 17:35:21.400025,2026-05-25 17:36:12.442559,0 days 00:00:51.042534,128,3,0.0012842260161215887,80,50.92604148999999,1.0,1.0,COMPLETE
34,0.3305445497213239,2026-05-25 17:36:12.460986,2026-05-25 17:37:10.130294,0 days 00:00:57.669308,256,5,0.0018463265221690557,24,57.55913176800004,1.0,1.0,COMPLETE
35,0.38314889493800464,2026-05-25 17:37:10.149115,2026-05-25 17:37:29.018399,0 days 00:00:18.869284,128,5,0.002559447048058243,24,18.759285783999985,1.0,1.0,COMPLETE
36,0.4066962895474988,2026-05-25 17:37:29.036340,2026-05-25 17:38:36.945415,0 days 00:01:07.909075,128,4,0.001152933316234957,32,67.80455071200004,1.0,1.0,COMPLETE
37,0.2918697490557813,2026-05-25 17:38:36.969889,2026-05-25 17:38:53.969496,0 days 00:00:16.999607,384,4,0.0029084860453367904,24,16.888958382000055,1.0,1.0,COMPLETE
38,0.28446366291222597,2026-05-25 17:38:53.988953,2026-05-25 17:39:03.931869,0 days 00:00:09.942916,384,4,0.0028334336304139686,24,9.833395509000184,1.0,1.0,COMPLETE
39,0.69839629032708,2026-05-25 17:39:03.954060,2026-05-25 17:39:29.439663,0 days 00:00:25.485603,384,5,0.00010659426280388144,64,25.370981957999902,1.0,1.0,COMPLETE
40,0.31526809187790905,2026-05-25 17:39:29.459706,2026-05-25 17:39:55.710018,0 days 00:00:26.250312,384,5,0.0009637587168336811,48,26.13743905499996,1.0,1.0,COMPLETE
41,0.2960481595727798,2026-05-25 17:39:55.728880,2026-05-25 17:40:06.854680,0 days 00:00:11.125800,384,4,0.0023632518909310874,24,11.028508409000096,1.0,1.0,COMPLETE
42,0.27396874465383586,2026-05-25 17:40:06.873818,2026-05-25 17:40:20.093095,0 days 00:00:13.219277,384,4,0.0015274377688724893,32,13.109683242000301,1.0,1.0,COMPLETE
43,0.31723185076154425,2026-05-25 17:40:20.121395,2026-05-25 17:40:34.624974,0 days 00:00:14.503579,384,3,0.0016113811507692726,32,14.387317326999892,1.0,1.0,COMPLETE
44,0.3108190232875767,2026-05-25 17:40:34.643722,2026-05-25 17:40:57.507291,0 days 00:00:22.863569,384,4,0.0012966680889917204,32,22.759931123000115,1.0,1.0,COMPLETE
45,0.7446239764601892,2026-05-25 17:40:57.528279,2026-05-25 17:41:14.093162,0 days 00:00:16.564883,384,3,0.0001594911672053721,32,16.450189748999946,1.0,1.0,COMPLETE
46,0.27595672144682765,2026-05-25 17:41:14.112978,2026-05-25 17:42:15.331696,0 days 00:01:01.218718,128,4,0.0008412353690151283,80,61.109369084000264,1.0,1.0,COMPLETE
47,0.32985435074879005,2026-05-25 17:42:15.354248,2026-05-25 17:42:37.655589,0 days 00:00:22.301341,384,4,0.0005770012267267914,80,22.187702917000024,1.0,1.0,COMPLETE
