modelo,error_l2,tiempo_s,lambda_ic_final,lambda_bc_final
M1,0.2643327357775623,208.3384186589974,1.0,1.0
M2,0.0285351082604338,211.4886489259952,154084.82532087917,251158.3704842895
M1B,0.18210366312195525,343.3476801229999,1.0,1.0
