regimen,trial,short_error_l2,width,depth,lr,batch,adaptive_beta,seed,iters,long_error_l2,lambda_ic_final,lambda_bc_final,tiempo_s
optuna_trial_82,82,0.064266544271197,80,3,0.0020667030862179,256,0.9609402971992412,0,3000,0.028417186090976012,154084.82532087923,251158.37048428957,214.39951694499177
optuna_trial_94,94,0.0614001785640028,80,3,0.0026049937184132,256,0.9651055335620714,0,3000,0.056684144973026616,108253.96633728204,184216.99018538682,211.875843057991
optuna_trial_92,92,0.0471735834981938,80,3,0.0029170705856281,256,0.9436654131832644,0,3000,0.07298313307485618,161052.0463624182,301068.14392673364,200.59706844000902
optuna_trial_67,67,0.0662289521861064,80,4,0.0013934343775856,384,0.9407426131297764,0,3000,0.08405651068807204,381207.53250765026,609842.8026883901,124.78819542400015
paper_conservador,-1,,50,3,0.001,256,0.9,0,3000,0.10248853564962825,219148.36289667423,276036.6833245801,201.31684204800695
optuna_trial_91,91,0.0319695164420899,80,4,0.0014140323998533,384,0.9691843191674222,0,3000,0.10527137784590074,249644.7093798843,398451.77795905306,124.65803199500078
optuna_trial_87,87,0.0426933061254324,80,3,0.0027867313136151,256,0.9624998562340132,0,3000,0.14928372259139325,181366.08547694376,311199.86087906745,203.8711524160026
