seed,modelo,error_l2,tiempo_s,lambda_ic_final,lambda_bc_final,iters,width,depth,lr,batch,adaptive_beta
0,M1,0.2660768165975722,186.25097157199343,1.0,1.0,3000,80,3,0.0020667030862179673,256,0.9609402971992413
0,M2,0.028417186090976012,209.8301337479934,154084.82532087917,251158.3704842895,3000,80,3,0.0020667030862179673,256,0.9609402971992413
1,M1,0.22837965755780637,197.181166690003,1.0,1.0,3000,80,3,0.0020667030862179673,256,0.9609402971992413
1,M2,0.06702614431805366,210.767407886,103785.46865076658,188652.216194689,3000,80,3,0.0020667030862179673,256,0.9609402971992413
2,M1,0.2259516342147916,208.83462438698916,1.0,1.0,3000,80,3,0.0020667030862179673,256,0.9609402971992413
2,M2,0.0699718259403279,209.00465650200204,142964.31978029944,237307.14985196316,3000,80,3,0.0020667030862179673,256,0.9609402971992413
