regimen,trial,short_error_l2,width,depth,lr,batch,seed,iters,long_error_l2,lambda_ic_final,lambda_bc_final,tiempo_s
m1_optuna_trial_83,83,0.2771569814183507,48,5,0.0020996352226311,128,0,3000,0.1845979044097962,1.0,1.0,242.09595303599963
m1_optuna_trial_95,95,0.2771056368170951,48,5,0.0010136994823001,128,0,3000,0.23886107187762043,1.0,1.0,239.2653633560003
m1_optuna_trial_91,91,0.2629274589019149,48,5,0.0010009286342457,128,0,3000,0.24190636005176902,1.0,1.0,236.14954003599996
m1_optuna_trial_42,42,0.2739687446538358,32,4,0.0015274377688724,384,0,3000,0.26306286411201574,1.0,1.0,54.40560257300058
m1_optuna_trial_25,25,0.2777614574462433,80,4,0.0017642202152925,128,0,3000,0.31880106241148276,1.0,1.0,201.13945991400033
m1_optuna_trial_46,46,0.2759567214468276,80,4,0.0008412353690151,128,0,3000,0.3418415846552394,1.0,1.0,191.87597167900003
